match_id,versus,bowling_team,bowler,overs,maidens,runs_given,wickets,economy,zeros,fours_given,sixes_given,wides,noballs
14,Afghanistan vs New Zealand,Afghanistan,Fazalhaq Farooqi,3.2,0,17,4,5.10,15,2,0,3,0
14,Afghanistan vs New Zealand,Afghanistan,Mohammad Nabi,4,0,16,2,4.00,11,0,0,0,0
14,Afghanistan vs New Zealand,Afghanistan,Naveen-ul-Haq,3,0,10,0,3.33,12,1,0,0,0
14,Afghanistan vs New Zealand,Afghanistan,Rashid Khan,4,0,17,4,4.25,16,2,0,2,0
14,Afghanistan vs New Zealand,Afghanistan,Noor Ahmad,1,0,10,0,10.00,1,0,1,0,0
15,Sri Lanka vs Bangladesh,Bangladesh,Tanzim Hasan Sakib,4,0,24,1,6.00,14,2,1,0,0
15,Sri Lanka vs Bangladesh,Bangladesh,Shakib Al Hasan,3,0,30,0,10.00,5,4,0,0,0
15,Sri Lanka vs Bangladesh,Bangladesh,Taskin Ahmed,4,0,25,2,6.25,12,3,0,1,0
15,Sri Lanka vs Bangladesh,Bangladesh,Mustafizur Rahman,4,0,17,3,4.25,14,2,0,1,0
15,Sri Lanka vs Bangladesh,Bangladesh,Rishad Hossain,4,0,22,3,5.50,10,1,1,0,0
15,Sri Lanka vs Bangladesh,Bangladesh,Mahmudullah,1,0,4,0,4.00,2,0,0,0,0
15,Sri Lanka vs Bangladesh,Sri Lanka,Dhananjaya de Silva,2,0,11,1,5.50,3,0,0,1,0
15,Sri Lanka vs Bangladesh,Sri Lanka,Nuwan Thushara,4,0,18,4,4.50,14,1,0,5,0
15,Sri Lanka vs Bangladesh,Sri Lanka,Maheesh Theekshana,4,0,25,0,6.25,8,1,0,3,0
15,Sri Lanka vs Bangladesh,Sri Lanka,Wanindu Hasaranga,4,0,32,2,8.00,12,0,4,0,0
15,Sri Lanka vs Bangladesh,Sri Lanka,Matheesha Pathirana,4,0,27,1,6.75,11,1,1,2,0
15,Sri Lanka vs Bangladesh,Sri Lanka,Dasun Shanaka,1,0,11,0,11.00,2,0,1,1,0
16,Netherlands vs South Africa,South Africa,Marco Jansen,4,0,20,2,5.00,15,2,0,1,1
16,Netherlands vs South Africa,South Africa,Kagiso Rabada,4,0,27,0,6.75,12,2,1,1,0
16,Netherlands vs South Africa,South Africa,Ottneil Baartman,4,0,11,4,2.75,17,1,0,1,0
16,Netherlands vs South Africa,South Africa,Anrich Nortje,4,0,19,2,4.75,14,0,1,1,1
16,Netherlands vs South Africa,South Africa,Keshav Maharaj,4,0,24,0,6.00,6,1,0,1,0
16,Netherlands vs South Africa,Netherlands,Vivian Kingma,4,1,12,2,3.00,18,0,0,1,0
16,Netherlands vs South Africa,Netherlands,Logan van Beek,4,1,21,2,5.25,13,1,1,0,0
16,Netherlands vs South Africa,Netherlands,Paul van Meekeren,4,1,13,0,3.25,17,1,0,1,0
16,Netherlands vs South Africa,Netherlands,Bas de Leede,3.5,0,34,1,8.86,12,2,2,0,1
16,Netherlands vs South Africa,Netherlands,Tim Pringle,2,0,14,0,7.00,4,0,1,0,0
16,Netherlands vs South Africa,Netherlands,Vikramjit Singh,1,0,11,0,11.00,0,0,1,0,0
17,Australia vs England,England,Moeen Ali,2,0,18,1,9.00,6,2,1,0,0
17,Australia vs England,England,Will Jacks,1,0,22,0,22.00,1,0,3,0,0
17,Australia vs England,England,Jofra Archer,4,0,28,1,7.00,11,2,1,1,0
17,Australia vs England,England,Mark Wood,3,0,32,0,10.66,9,2,3,0,0
17,Australia vs England,England,Adil Rashid,4,0,41,1,10.25,7,4,2,1,0
17,Australia vs England,England,Chris Jordan,4,0,44,2,11.00,6,4,2,4,0
17,Australia vs England,England,Liam Livingstone,2,0,15,1,7.50,2,0,1,0,0
17,Australia vs England,Australia,Mitchell Starc,3,0,37,0,12.33,7,3,3,2,0
17,Australia vs England,Australia,Josh Hazlewood,4,0,28,1,7.00,10,4,0,0,0
17,Australia vs England,Australia,Pat Cummins,4,0,23,2,5.75,10,2,0,1,0
17,Australia vs England,Australia,Marcus Stoinis,3,0,24,1,8.00,6,3,0,2,0
17,Australia vs England,Australia,Adam Zampa,4,0,28,2,7.00,9,0,2,0,0
17,Australia vs England,Australia,Glenn Maxwell,2,0,22,0,11.00,5,0,3,0,0
18,West Indies vs Uganda,Uganda,Alpesh Ramjani,3,0,16,1,5.33,11,1,1,0,0
18,West Indies vs Uganda,Uganda,Cosmas Kyewuta,4,0,42,1,10.50,15,7,1,2,1
18,West Indies vs Uganda,Uganda,Juma Miyagi,3,0,29,0,9.66,6,3,1,0,1
18,West Indies vs Uganda,Uganda,Frank Nsubuga,3,0,29,0,9.66,4,1,2,0,1
18,West Indies vs Uganda,Uganda,Brian Masaba,4,0,31,2,7.75,10,1,2,2,0
18,West Indies vs Uganda,Uganda,Dinesh Nakrani,3,0,20,1,6.66,5,2,0,0,0
18,West Indies vs Uganda,West Indies,Akeal Hosein,4,0,11,5,2.75,19,2,0,0,0
18,West Indies vs Uganda,West Indies,Romario Shepherd,2,0,9,1,4.50,6,1,0,0,0
18,West Indies vs Uganda,West Indies,Andre Russell,1,0,4,1,4.00,4,0,0,1,0
18,West Indies vs Uganda,West Indies,Alzarri Joseph,3,0,6,2,2.00,14,0,0,1,0
18,West Indies vs Uganda,West Indies,Gudakesh Motie,2,0,6,1,3.00,8,0,0,0,0
19,India vs Pakistan,Pakistan,Shaheen Shah Afridi,4,0,29,1,7.25,14,1,2,1,0
19,India vs Pakistan,Pakistan,Naseem Shah,4,0,21,3,5.25,15,3,0,1,1
19,India vs Pakistan,Pakistan,Mohammad Amir,4,0,23,2,5.75,15,3,0,0,0
19,India vs Pakistan,Pakistan,Iftikhar Ahmed,1,0,7,0,7.00,3,1,0,1,0
19,India vs Pakistan,Pakistan,Imad Wasim,3,0,17,0,5.66,6,1,0,1,0
19,India vs Pakistan,Pakistan,Haris Rauf,3,0,21,3,7.00,10,4,0,0,0
19,India vs Pakistan,India,Arshdeep Singh,4,0,31,1,7.75,11,4,0,1,0
19,India vs Pakistan,India,Mohammed Siraj,4,0,19,0,4.75,11,1,0,1,1
19,India vs Pakistan,India,Jasprit Bumrah,4,0,14,3,3.50,15,1,0,0,0
19,India vs Pakistan,India,Hardik Pandya,4,0,24,2,6.00,11,1,1,1,0
19,India vs Pakistan,India,Ravindra Jadeja,2,0,10,0,5.00,5,1,0,0,0
